年份,学校名称,院系名称,专业代码,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2020,中国人民大学,公共管理学院,125200,(专业学位)公共管理,175,88,44,-,-
2020,中国人民大学,公共管理学院,125200,(专业学位)公共管理,175,88,44,-,-
2020,中国人民大学,公共管理学院,125200,(专业学位)公共管理,175,88,44,-,-
2020,同济大学,测绘与地理信息学院,70500,地理学,288,40,40,60,60
2020,清华大学,建筑学院,81300,建筑学,310,50,50,90,90
2020,清华大学,建筑学院,81300,建筑学,310,50,50,90,90
2020,同济大学,测绘与地理信息学院,70500,地理学,288,40,40,60,60
2020,同济大学,测绘与地理信息学院,70500,地理学,288,40,40,60,60
2020,清华大学,建筑学院,95100,(专业学位)农业,253,33,33,50,50
2020,清华大学,建筑学院,95100,(专业学位)农业,253,33,33,50,50
2020,清华大学,建筑学院,81300,建筑学,310,50,50,90,90
2020,清华大学,建筑学院,81300,建筑学,310,50,50,90,90
2020,南昌大学,艺术与设计学院,135100,(专业学位)艺术,347,38,38,57,57
2020,南昌大学,艺术与设计学院,135100,(专业学位)艺术,347,38,38,57,57
2020,南昌大学,艺术与设计学院,130400,美术学,347,38,38,57,57
2020,北京大学,法学院,35102,(专业学位)法律（法学）,325,46,46,69,69
2020,南昌大学,艺术与设计学院,130400,美术学,347,38,38,57,57
2020,北京大学,法学院,35101,(专业学位)法律（非法学）,325,46,46,69,69
2020,南昌大学,艺术与设计学院,130400,美术学,347,38,38,57,57
2020,北京大学,法学院,35101,(专业学位)法律（非法学）,325,46,46,69,69
2020,南昌大学,艺术与设计学院,130400,美术学,347,38,38,57,57
2020,北京大学,法学院,35102,(专业学位)法律（法学）,325,46,46,69,69
2020,北京大学,法学院,35102,(专业学位)法律（法学）,325,46,46,69,69
2020,北京大学,法学院,35101,(专业学位)法律（非法学）,325,46,46,69,69
2020,北京大学,法学院,35101,(专业学位)法律（非法学）,325,46,46,69,69
2020,北京大学,法学院,35102,(专业学位)法律（法学）,325,46,46,69,69
2020,北京大学,法学院,35101,(专业学位)法律（非法学）,325,46,46,69,69
2020,北京大学,外国语学院,55100,(专业学位)翻译,355,52,52,78,78
2020,北京大学,法学院,35102,(专业学位)法律（法学）,325,46,46,69,69
2020,北京大学,外国语学院,55100,(专业学位)翻译,355,52,52,78,78
2020,北京大学,外国语学院,45300,(专业学位)汉语国际教育,331,46,46,69,69
2020,北京大学,马克思主义学院,30500,马克思主义理论,327,46,46,91,91
2020,北京大学,外国语学院,45300,(专业学位)汉语国际教育,331,46,46,69,69
2020,北京大学,马克思主义学院,30500,马克思主义理论,327,46,46,91,91
2020,北京大学,马克思主义学院,30500,马克思主义理论,327,46,46,91,91
2020,北京大学,马克思主义学院,30500,马克思主义理论,327,46,46,91,91
2020,华北水利水电大学,信息工程学院,83500,软件工程,264,37,37,56,56
2020,北京大学,马克思主义学院,30500,马克思主义理论,327,46,46,91,91
2020,华北水利水电大学,信息工程学院,95100,(专业学位)农业,253,33,33,50,50
2020,北京理工大学,数学与统计学院,70100,数学,340,40,40,60,60
2020,华北水利水电大学,信息工程学院,83500,软件工程,264,37,37,56,56
2020,华北水利水电大学,信息工程学院,81200,计算机科学与技术,264,37,37,56,56
2020,华北水利水电大学,信息工程学院,83500,软件工程,264,37,37,56,56
2020,北京理工大学,数学与统计学院,70100,数学,340,40,40,60,60
2020,北京理工大学,数学与统计学院,70100,数学,340,40,40,60,60
2020,华北水利水电大学,管理与经济学院,125300,(专业学位)会计,193,88,44,-,-
2020,北京理工大学,数学与统计学院,70100,数学,340,40,40,60,60
2020,北京理工大学,数学与统计学院,70100,数学,340,40,40,60,60
2020,华北水利水电大学,管理与经济学院,125300,(专业学位)会计,193,88,44,-,-
2020,华北水利水电大学,管理与经济学院,125100,(专业学位)工商管理,175,88,44,-,-
2020,华北水利水电大学,管理与经济学院,125100,(专业学位)工商管理,175,88,44,-,-
2020,华北水利水电大学,管理与经济学院,125100,(专业学位)工商管理,175,88,44,-,-
2020,华北水利水电大学,管理与经济学院,125100,(专业学位)工商管理,175,88,44,-,-
2020,华北水利水电大学,管理与经济学院,125100,(专业学位)工商管理,175,88,44,-,-
2020,华北水利水电大学,管理与经济学院,125100,(专业学位)工商管理,175,88,44,-,-
2020,华北水利水电大学,管理与经济学院,125100,(专业学位)工商管理,175,88,44,-,-
2020,华北水利水电大学,管理与经济学院,120200,工商管理,345,49,49,74,74
2020,华北水利水电大学,管理与经济学院,125300,(专业学位)会计,193,88,44,-,-
